"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"2347610","One of my favorite places to eat.Good selection of cusine. Courteous staff. Food is yummy and portions reasonable and reasonably priced Cosy good place to just hang out with friends and family",5,"2019-05-18 06:28:36",6,44,0
"37981430","Decent place near to office area in financial district. The ambience and interior decoration is in terms with its location. Food is nice, staff are courteous. Overall a good dining experience",4,"2019-05-16 19:47:37",12,7,7
"55871826","Awesome place with great taste . You can taste desi along with continental foods. Nachos and pizza are must try. Sizzle rs were awesome. Desserts are tasty. Ambiance is great you might find prices a bit high but the taste worth’s it ",5,"2019-05-11 22:53:31",10,5,0
"54475957","This is the best place to have a casual outing with colleagues, during office hours.
Food tastes great! Menu is very well defined and have good amount of combos.
My favorite is punjabi puttar combo with lachcha parantha.. do try that of you go here. ",5,"2019-05-06 14:21:34",10,3,0
"47874606","Despite having a prior booking ... They made us sit in the last ,where the AC wasn't sufficient .
The management was too ignorant ... Said the same thing multiple times all to deaf ears .
There's nothing that was too good about it.
The food was below average and too pricy for the portion and taste they serve.
Won't recommend.",1,"2019-04-27 16:18:03",1,4,0
"53342624","Why you have changed the menu guys. And the new menu is pathetic. I miss that old cottege cheese steak, enchiladas and lots of great items. Please revert it. I am rating 1 star for new menu, it's tasteless. Unecessary change. I was regular but now don't want to come after trying the new menu.",1,"2019-04-13 20:40:49",2,1,0
"11924831","A cozy, comfortable and good place to enjoy a cup of coffee or have a complete meal. Ordered Thai green curry and it was really nice. Ordered coffee as well which was a perfect cuppa!! Certainly recommended!!!",4,"2019-04-12 22:48:26",43,25,0
"29973853","Beautiful ambience. Nice place to chill with some really good food. I really liked the burger which I had over here. Something that stood out for me.",4,"2019-04-06 17:57:48",25,5,0
"35422959","It is a good place to eat. The burgers taste really well. The food is a little expensive but they make it up by the food. Ambience is good enough too.",4,"2019-04-01 19:35:21",91,126,0
"32544743","So i had been to this place like 3 months ago and we ordered chicken khou sey and chicken lasagna. I was just soo yum that my mouth still waters thinking about this place. I even loved the varieties of dishes in the menu. #happytummyishappyme 🤩🤩",5,"2019-03-17 19:17:18",13,11,0
"262271","Came here with my Family after 2-3 months and ordered usual chinese combo . They have changed their menu and made it more south Indian than continental like before .  In chinese combo they gave us noodles topped with Paneer 65 ( with all curry patta and mustard seeds) This use to be my go to place until last year because of the freindly staff and variety in continental menu .  They changed their menu and the new taste is not worth it. ",2,"2019-03-15 21:49:15",1,49,0
"1252734","The pasta alone is too good to fetch the high rating. The service is another reason for it. I would definitely like to have many more visits to try out other items in their menu card.",4,"2019-03-11 13:44:50",22,6,0
"37794020","I have been there here thrice. The food is simply amazing but it's too costly.
Must try : crispy corn , cheesy french fries , deli 9 spl pizza and munchuria noodles lunch combo.
Mocktails : virgin motijo",5,"2019-03-06 11:50:08",18,18,2
"266215","The food is great over here.. we are sort of regular over here as its nearby to our office campus.. One can try the combos over here which have a great potion.. mocktails are good but expensive..",3,"2019-03-05 19:18:57",6,99,0
"39524626","Really a unique place with a subtle ambience, decent music and delicious food..!! I came here on a friday evening with my friend and we had burger and sandwich.
Price was quiet high but quantity was also more with a very good taste. To be honest, we were done for that day. Side dish was also nice.
Also this bistro is near to all offices, so
I must say it is a very nice place to dine in with your colleagues..!!!",5,"2019-03-03 02:01:33",17,8,1
"1456097","Liked the veg manchow soup very much, have been there for the soup few times . Even the other food items were pretty tasty and decent . There is a little wait time. A good place to hangout with friends .",4,"2019-03-02 19:16:52",4,23,0
