"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"90093663","It is good but i want some spicy if it is spicy it tooooo goood and as per cost qty also good its yummy.please add some vegitables i didnt get any vegitable in my order",5,"2019-05-18 18:53:39",2,2,0
"35607304","Ordered Paneer maggi and it tasted really really good. It was hot and juicy. The quantity of maggi was good but there were only 4-5 tiny pieces of paneer.",4,"2019-05-15 17:43:14",2,1,0
"68350022","I ordered an veg corn Maggie which was okay to eat . But the fried maggie's are much more tempting and more tasty .
The only drawback on visiting the shop is that they only accept the cash .",3,"2019-04-30 13:40:53",6,0,1
"54646858","Delivered before the time specifed ",5,"2019-04-24 02:36:37",4,1,0
"46365297","The Maggie masala is put alot in the Maggie, could you please make good Maggie rather than making it very spicy ? The masala makes it too spicy and tastes raw. Please improve on the taste. Thank you for the speedy delivery.",1,"2019-04-23 19:34:37",11,2,1
"54372212","Its a small stall beside synergy park campus odc4.
They have Maggie and also fried Maggie too.i ate vegetable fried maggie which is very good to taste and it is around 40rs and also you can see the menu card given and non Vegas maggie is also good here.They have limited editions of Maggie but all of them are good.
Food 5/5",4,"2019-04-18 19:49:16",58,2002,1
"48035897","I ordered a shawarma and I received a rotten shawarma. I don't understand why people do this. It's food. Not any product. If you want to increase the price. Do it. But how can you serve this type of food to anyone. This is completely rotten and even smells very bad. Would never order from you again.",1,"2019-04-15 03:15:11",20,8,0
"49977725","Fried Maggie's are better compared with the normal one, Normal Maggie's are prepared like soup with more water also sometimes they let the Maggie to burn and add water in it ,that would be horrible. Good to go as a midnight snack.",3,"2019-04-12 17:52:31",9,1,0
"15977556","It tasted worst. There were no vegetables in vegetable maggi expect cabbage and paid extra for cheese which was stinking. Will not recommend nor order again. Waste of money ",2,"2019-04-12 16:36:36",6,3,0
"29973853","Go to place for my midnight snacks. Have tried almost all the different varieties of Maggi served and the place hasnt dissapointed yet. Chicken fried Maggi being my favourite.",4,"2019-04-06 18:16:37",25,5,0
"39611297","Ordered a double Chicken and double egg Maggi and an egg Maggi. It was delivered to me while it was still hot and steamy that way you can be sure that it isn't sticky or soggy. It also tasted really good and was cooked properly. They had good amount of egg and chicken in both the dishes. The quantity was really good and it is worth the money.
Taste : 4/5.",4,"2019-04-04 20:39:09",22,92,2
"36196275","awesome food",5,"2019-03-13 22:29:05",8,2,0
"39819841","Ordered Double Egg Double Chicken maggi with extra cheese. It came hot in a plastic bowl with a fork and tissue paper. It tasted pretty good and the quantity was also sufficient. ",4,"2019-03-09 19:00:27",18,41,1
"27725380","Ordered cheese corn maggi and veg cheese maggi for 100 rupees and review is based on that.
Quality: 5/5: The maggi was neither too soupy nor thick it was perfect with good taste
Quantity 4/5: It could have been more as per price
Delivery : 5/5
Packaging : 5/5",5,"2019-03-05 00:33:12",59,40,1
"1874218","The price is reasonable and the quantity is okay but the taste of fried Maggie was good.
Request them not to add to cabbage in more quantity which will sometimes ruin all the taste but overall taste was good.
I said rate this restaurant 7/10.
This restaurant is the only hunger saviour during mid night.",4,"2019-02-26 03:13:51",10,13,0
"60308918","good boy",5,"2019-02-25 21:49:42",4,3,0
"51145419","Good place for late night ordering ...but sometimes it comes like complete masala and taste also disappointed... But overall dirrent Maggie's in this place .. ....",4,"2019-02-21 00:44:18",38,28,0
"34317620","Really bad food. Filled with chilli.
I you hate someone give it to them. They will surely suffer the next day.
They fucked up Maggie. I don't know what kind of cook they have.
Unprofessional, really bad ",1,"2019-02-17 23:05:53",2,1,0
"29148567","Perfect for tackling hunger. Several varieties of maggi are available. Good in taste and pocket friendly. Not a fan of spicy food so wish a little less spice is given in them.",4,"2019-02-11 17:08:45",32,319,0
"38716666","First time i ate non veg Maggie from this place. Test was good i prefer this place because its near to my office and its reasonable also .. good place for khatty",4,"2019-02-11 00:15:39",17,9,0
"29123739","Famous place just before the DLF building in gachibowli,they have a wide variety of Maggi and I would always pick their authentic fried Maggi better to have it at the place rather than ordering online, quantity gets reduces when ordered online than you eat at Maggi point",3,"2019-02-07 17:23:40",64,171,0
"20544769","It's a very small food joint like a pan shop and very crowded since there are many other food joints in the same lane.
It's nothing exceptional but if you really love Maggi then you can give it a try.
We tried fried chicken maggi but are doubtful of it being halal 😐
If anyone knows about it, please let me know.",3,"2019-02-02 13:59:29",36,33,1
"959890","Its a small joint located near the DLF IT Park. Well who doesnt love Maggi and thats what draws you towards the outlet. You can either visit the place or even place order online. I have tried both methods with varying experience. 
I visited the outlet and Maggi i tasted was much better than when i ordered for home delivery. So one thing probably with Maggi is that you will relish it most of it is prepared and consumed hot without letting it dry. 
Double Egg Chicken Maggi - not as i would have expected it to be 
Double Masala chicken Maggi - definitely worth a try 
Chicken fried Maggi is my personal favorite 
Overall a nice small joint to satisfy your maggi cravings, would suggest order online if you live closeby. 
Overall 3 
Food 3 
Value for Money 4",3,"2019-01-31 22:09:49",124,874,0
"87631373","Too dry and very less stuffing",2,"2019-01-28 00:53:37",1,2,0
"3093673","I've called for their veg as well as chicken fried Maggie a hundred of times just because it is so delicious and has a different taste from all the other Maggie places around. However, 2 days back when I ordered the food, it tasted the same but it had a peculiar smell which has never been there. I took two bites and just left it, those bites created a havoc for me the entire night. It left me with a very bad stomach pain I've never experienced before. Honestly I didn't even expect that it would create such a mess. People always say, avoid street side food which are close to vehicles and all, but this place never disappointed me except for this particular order. So I guess never risking my stomach again. Going to miss that Maggie so much 😷",2,"2019-01-26 21:43:20",66,83,0
"34835968","I’m a frequent customer here! Just wanted to share this while I ordered A chicken Maggie today, instead of chicken I received marinated fried maida balls(majority of it) which looked like Chicken! ",2,"2019-01-22 22:46:39",5,3,0
"53971649","Too spicy ",3,"2019-01-22 17:50:13",4,21,0
"66383844","I used to really love this place and food!! The problem is with how the zomato deliveryman assigned to deliver my food, didn't deliver my food. My order was paid online and he took my order for himself. He turned off his phone and didn't answer!. Even zomato didn't update me about the follow-up. I never got my food.Just the money was refunded, that's all! But is this what you get when you really need to eat and wait like hell,but get nothing!!This is really frustrating!! I don't know why zomato is ruining it's own reputation!.",1,"2019-01-18 17:42:11",6,1,0
"68300732","I have ordered Double Egg and Double Chicken Maggie. I think this is a single egg with chicken less Meggie.I didn't feel the teast of chicken.Very less egg and chicken quantity they packed.",1,"2019-01-07 20:15:09",2,1,1
"36301167","not warm",2,"2019-01-07 03:36:47",2,1,0
"85827891","Maggi tastes really good 4/5😘 must try item
But never order shawarma from this place it tastes really bad🤮🤢 I’ve ordered chicken shawarma but there are some unusual veggies in there. Don’t even try it🤮",3,"2019-01-06 20:59:42",1,0,0
"53948046","They are preparing good Maggi and their test of Maggi is also good but their prices are costly then other Maggi points, also the quality is good ",3,"2019-01-06 00:38:00",5,0,1
"75477519","It's been a great experience each and every time I ordered from this restaurant.I have order double egg double chicken cheese fried maggi and chicken shawarma regular(rumali) several times and it's been truly amazing.keep up the level and good work.All the best hunger maggi point 🤘",5,"2019-01-05 20:48:21",2,0,0
"33901255","A roadside eatery to satiate sudden cravings for Maggi after office hours. Can't vouch for the hygiene of the place but it serves some really good variants of Maggi.
Fried Maggi is highly recommend especially with extra cheese and butter add-ons. 😋",4,"2019-01-04 22:56:29",155,1799,1
"86665969","Very nice and tasty Maggi. You guys are awesome but still, I feel like the price is little expensive else all good. I would give you 5 stars for your good job.",5,"2019-01-01 02:03:12",12,111,0
"44414900","on time",5,"2018-12-27 03:22:56",1,1,0
"56533950","Natural maggi taste is missing, please don't add additional masala",3,"2018-12-26 04:06:53",9,4,0
"49418429","maggy was disaster",1,"2018-12-25 22:29:42",5,2,0
"36514654","gave cheese instead of chicken",1,"2018-12-25 02:57:37",1,7,0
"86700613","Not good and fresh. I was thinking to have happy meal but disappointed now. Hope to have tasty Maggi. Maggi is sticky and fried Maggi is also not good. ",1,"2018-12-24 21:17:02",1,0,0
"37868277","Ordered through Zomato for two dishes maggi's with chicken. There was hardly any chicken at all. Wonder how it's double chicken. Moreover, quality wasn't good either.",1,"2018-12-24 21:14:02",1,1,0
"43775963","the quantity is very less..",2,"2018-12-16 20:02:36",4,2,0
"55774545","I would highly recommend you to order Maggie at late nights !!
I am late night eater and I find this Maggi point available everytime !!
Tasty 😋",5,"2018-12-15 15:16:59",3,39,0
"2977466","I used to spot this shop opposite to the DLF IT park while coming back from work during my stay in Hyderabad. Always crowded with majority of the IT people nearby and all other food delivery agents waiting to take parcel. Got to know that they are also delivering till the wee hours of the night.
I was wanting to order from here once for that taste of Maggi. Who doesn't like a fancy maggi noodles? So one fine night, ordered for a Corn Masala Cheese Butter Maggi through Zomato.  That was the most fanciest name I could find on their menu. 
The delivery was smooth and the packing was okayish in a plastic box along with a plastic spoon and fork. The maggi was somewhat soggy and some what semi gravyish which I am not that big a fan of. It could have been a bit drier. But the taste was really good and one could feel all the butter & cheese in the maggi.  Good cost effective outlet for the love of Maggi Noodles.",3,"2018-12-14 10:33:54",119,469,1
"48353445","This restaurant is a saviour. This is the answer for my late night hunger pangs and my snack time cravings. Whenever I'm feeling too hungry to eat biscuits but not hungry enough to eat dinner, I order Maggi from Hunger Maggi Point. It's the best. The double egg double chicken fried Maggi is my favourite. Clubbed with offers, which is often, these are the cheapest and tastiest solution to your hunger. Keep up the good work, fellas.",5,"2018-12-09 20:23:41",11,7,0
"48196291","As this Maggi point located at a demanding place, they least bothered about the food ordered online and send us the poor quality food . Better not to order online and do if you wanna waste your money.",1,"2018-12-09 17:59:54",5,2,0
"51883956","waste they prepared food before Maggi was noo taste waste of money I ordered double egg chicken Maggi but I think they put half egg only too worst",1,"2018-12-08 19:36:13",4,8,0
"53272746","fastest delivery",5,"2018-12-06 17:23:14",2,2,0
"64015519","We can get a very good Maggi here I had eaten double chicken fried Maggi here it was very good for taste and look good for our eyes it was the best snack to eat",4,"2018-12-06 13:26:53",6,0,1
"52131405","chicken Maggie doesn't have any chicken...it is like veg Maggie...without masala",1,"2018-11-30 22:47:56",4,4,0
"79231122","good and spicy ",5,"2018-11-27 02:36:19",2,1,0
"2644474","It's a good find for a quick snack...
The Maggie I ordered served as a perfect comfort food... cheesy and masaledaar! (Cheese Corn masala Maggie)
Looks like a potential regular mid-night snack option",3,"2018-11-25 23:01:32",9,6,1
"56533950","Was too spicy",4,"2018-11-20 01:51:55",9,4,0
"30734151","No cutlery. Fork is missing.",3,"2018-11-17 23:09:25",3,6,0
"52882320","very good ",5,"2018-11-16 18:00:15",1,0,0
"886088","ok ok with taste",3,"2018-11-12 20:23:27",161,1217,0
"54220629","It seems like they have sent the Maggie which was prepared 2 hrs back..
Not even hot.
The cheese was added which did not even melt..
Very bad experience through zomato",1,"2018-11-11 18:50:53",1,2,0
"65573249","Ordered home delivery as I wanted to sit, relax and enjoy this Maggi.
They serve a lot of variety of Maggis. I like the fried Maggi.
Ordered fried chicken Maggi, as expected it was really good and tasty. Filled with crunchy chicken pieces and a lot of veggies.
And I suggest you all if you order for home delivery please eat while it's still hot. It tastes really good. After all it's Maggi. ",4,"2018-11-06 21:07:28",78,158,1
"54475871","waste fellow",1,"2018-11-05 22:00:51",1,2,0
"65025773","good delivery ",5,"2018-11-03 00:37:45",2,1,0
"52088641","very nice ",5,"2018-10-29 19:37:42",3,3,0
"46696284","Very nice place to get rid of your hunger in late night in hi-tech city.
Ordered fried chicken Maggi. Turned to be good.  Packing and taser was good. ",5,"2018-10-28 19:55:03",50,45,2
"53177527","good it is delivered on time",5,"2018-10-28 18:14:23",5,2,0
