Company,Vision
Microsoft Corporation,"A World-Class Microsoft R&D Center where Top Talent, a Culture of Innovation and Engineering Excellence come together to help People and Businesses Realize their Full Potential."
Berkshire Hathaway Inc., 
Terex Corporation," 1-> To be the most profitable machinery company in our industry as measured by ROIC for takeholders.  
2-> To be the most customer responsive company in our industry as measured by customer
benchmarking and surveys. 
3-> To be the best place to work in our industry as measured by employee surveys."
Aramark Corporation," A company where the best people want to work. Customers who recommend us to others because we constantly exceed their expectations. Success measured in the growth of our company, its earnings and ourselves. The world leader in managed services."
FMC Corporation," As a global leader utilizing advanced technologies and customer-focused research and development, FMC provides innovative and cost-effective solutions to food and agriculture, pharmaceutical, healthcare, pulp and paper, textiles, glass and ceramics, rubber and plastics, lubricants, structural pest control, turf & ornamental markets, specialty and related industries."
The Carlyle Group L.P.," Carlyle professionals collaborating seamlessly and selflessly across funds, industries and geographies to deliver the visdom, knowledge and resourses required to invest wisely and create value."
"Office Depot, Inc."," Delivering Winning Solutions That Inspire Worklife: DeliveringOur actions speak louder than words. We are accountable: doing what we say we're going to do ? efficiently and on time; Winning-We act with confidence. We're proud to win. We push ourselves to greater heights.
And we don't settle for less than being the best; Solutions-We listen to our customers and understand their needs. We offer products, services and innovative thinking that enable our customers to achieve success; Inspire-Our inspiration is contagious and enables us to unleash creativity to help people achieve their goals. Our motivation and enthusiasm inspire others to succeed; Worklife™-We combine our energy for work with our passion for life . creating a fuller, more enriched lifestyle. We share the desire to maximize human potential to achieve personal dreams."
FirstEnergy Corp.," FirstEnergy will be a leading regional energy provider, recognized for operational excellence and customer service; the choice for long-term growth, investment value and financial strength; and
a company committed to safety and driven by the leadership, skills, diversity and character of its employees. "
"Graybar Electric Company, Inc."," Graybar is the vital link in the supply chain, adding value with efficient and cost-effective
service and solutions for our customers and our suppliers."
"Henry Schein, Inc."," Henry Schein, Inc. remains committed to the values-based culture and to serving our customers, supplier partners, investors, society and Team Schein. By holding fast to our historical values and focusing on our future, we are certain that our best years are yet to come.Henry Schein, Inc. has frequently reinvented the organization to meet customer needs, taking advantage of new technologies and tapping into burgeoning markets."
"Hasbro, Inc."," It is a branded play company dedicated to fulfilling the fundamental need for play for children and families through the creative expression of our world class brand portfolio, including TRANSFORMERS, MONOPOLY, PLAY-DOH, MY LITTLE PONY, MAGIC: THE GATHERING, NERF and LITTLEST PET SHOP."
"Macy's, Inc."," It is a premier national omnichannel retailer with iconic brands that serve customers through outstanding stores and dynamic online sites. Both Macy’s and Bloomingdale’s are known worldwide, and each has its own unique identity and customer focus."
"Delta Air Lines, Inc."," our company has stood for safe and reliable air transportation, distinctive customer service, and hospitality from the heart. Our vision is for Delta to build on its traditions and always to meet our customers' expectations while taking service to even higher levels of excellence. We are a leader in a business we know best airline transportation. We intend to be an even greater company and will focus our time, attention, and investment on building that leadership. We are dedicated to being the best airline in the eyes of our customers. We will provide value and distinctive products to our customers, a superior return for investors, and challenging and rewarding work for Delta people in an environment that respects and values their contributions."
"Ryder System, Inc."," Ryder provides leading-edge transportation, logistics and supply chain management solutions worldwide. Ryder’s product offerings range from full-service leasing, commercial rental and
programmed maintenance of vehicles to integrated services such as dedicated contract carriage and carrier management. Additionally, Ryder offers comprehensive supply chain solutions, consulting, lead logistics management services and e-Business solutions that support customers’
entire supply chains, from inbound raw materials and parts through distribution and delivery of finished goods. Ryder serves customer needs throughout North America, in Latin America, Europe and Asia. "
